loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
LP001119,Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,0.0
LP001120,Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,1.0
LP001123,Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,1.0,Urban,1.0
LP001131,Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,1.0
LP001138,Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1.0,Urban,1.0
LP001144,Male,Yes,0,Graduate,No,5821.0,,144.0,360.0,1.0,Urban,1.0
LP001146,Female,Yes,0,Graduate,No,2645.0,3440.0,120.0,360.0,0.0,Urban,0.0
LP001151,Female,No,0,Graduate,No,4000.0,2275.0,144.0,360.0,1.0,Semiurban,1.0
LP001155,Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1.0,Semiurban,1.0
LP001157,Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1.0,Semiurban,1.0
LP001164,,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,0.0
LP001179,Male,Yes,2,Graduate,No,4616.0,0.0,134.0,360.0,1.0,Urban,0.0
LP001186,Female,Yes,1,Graduate,Yes,11500.0,0.0,286.0,360.0,0.0,Urban,0.0
LP001194,Male,Yes,2,Graduate,No,2708.0,1167.0,97.0,360.0,1.0,Semiurban,1.0
LP001195,Male,Yes,0,Graduate,No,2132.0,,96.0,360.0,1.0,Semiurban,
LP001197,Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,,0.0
LP001198,Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1.0,Urban,1.0
LP001199,Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1.0,Urban,1.0
LP001205,Male,Yes,0,,No,2500.0,3796.0,120.0,360.0,1.0,Urban,1.0
LP001206,Male,Yes,3+,Graduate,No,3029.0,0.0,99.0,360.0,1.0,Urban,
LP001207,Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,0.0
LP001222,Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0.0,Semiurban,0.0
LP001225,Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1.0,Semiurban,0.0
LP001228,Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,,Urban,0.0
LP001233,Male,Yes,1,Graduate,No,10750.0,0.0,312.0,360.0,1.0,Urban,1.0
LP001238,Male,Yes,3+,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1.0,Urban,1.0
LP001241,Female,No,0,Graduate,No,,0.0,136.0,360.0,0.0,Semiurban,0.0
LP001243,Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1.0,Urban,1.0
LP001245,Male,Yes,,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1.0,Semiurban,1.0
LP001248,Male,No,0,Graduate,No,3500.0,0.0,81.0,300.0,1.0,Semiurban,1.0
,Male,,3+,,Yes,5266.0,1774.0,187.0,360.0,1.0,Semiurban,1.0
LP001255,Male,No,0,Graduate,No,3750.0,0.0,,480.0,1.0,,0.0
LP001256,Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1.0,Urban,0.0
LP001259,Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,0.0
LP001263,Male,Yes,3+,Graduate,No,3167.0,4000.0,180.0,300.0,0.0,Semiurban,0.0
LP001264,Male,,3+,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,1.0,Semiurban,1.0
LP001265,Female,No,0,Graduate,No,3846.0,0.0,111.0,360.0,1.0,Semiurban,1.0
LP001267,Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1.0,Urban,0.0
LP001273,Male,,0,Graduate,No,6000.0,2250.0,265.0,360.0,1.0,,0.0
LP001279,Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1.0,Semiurban,1.0
LP001282,Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1.0,Semiurban,1.0
LP001289,Male,No,0,Graduate,No,,,210.0,360.0,1.0,Urban,1.0
LP001310,Male,Yes,0,Graduate,,5695.0,4167.0,175.0,360.0,1.0,,1.0
LP001316,Male,Yes,0,Graduate,No,,2900.0,,360.0,1.0,Semiurban,1.0
LP001318,Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1.0,Semiurban,1.0
LP001319,Male,Yes,2,Not Graduate,No,3273.0,1820.0,81.0,360.0,1.0,Urban,1.0
LP001322,,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,1.0
LP001325,Male,No,0,Not Graduate,No,3620.0,0.0,25.0,120.0,1.0,Semiurban,1.0
LP001327,Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,,1.0,Semiurban,1.0
LP001333,Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1.0,Semiurban,1.0
LP001334,Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1.0,Semiurban,1.0
LP001343,Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1.0,,1.0
,Male,Yes,2,Not Graduate,No,4288.0,3263.0,133.0,180.0,1.0,Urban,1.0
LP001349,Male,No,0,Graduate,,4843.0,3806.0,151.0,360.0,1.0,Semiurban,1.0
LP001367,Male,Yes,1,Graduate,,3052.0,1030.0,100.0,360.0,1.0,Urban,1.0
LP001369,Male,Yes,2,Graduate,No,11417.0,1126.0,225.0,360.0,1.0,Urban,1.0
LP001370,Male,No,0,Not Graduate,No,7333.0,0.0,120.0,360.0,1.0,Rural,0.0
LP001379,,Yes,2,Graduate,No,3800.0,3600.0,216.0,360.0,0.0,Urban,
LP001384,Male,Yes,3+,Not Graduate,No,2071.0,754.0,94.0,480.0,1.0,Semiurban,1.0
LP001385,Male,No,0,Graduate,No,5316.0,,136.0,360.0,1.0,Urban,1.0
,Female,Yes,0,Graduate,No,2929.0,2333.0,139.0,360.0,1.0,Semiurban,1.0
LP001398,Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,1.0
LP001401,Male,Yes,1,Graduate,No,14583.0,0.0,,180.0,1.0,Rural,1.0
LP001404,Female,Yes,0,Graduate,,3167.0,2283.0,154.0,360.0,1.0,Semiurban,1.0
LP001405,Male,Yes,1,,No,2214.0,1398.0,85.0,360.0,1.0,Urban,1.0
LP001422,Female,No,0,Graduate,No,10408.0,0.0,,360.0,1.0,Urban,1.0
LP001430,Female,No,0,Graduate,No,4166.0,0.0,44.0,360.0,1.0,Semiurban,1.0
LP001431,Female,No,0,Graduate,No,2137.0,8980.0,137.0,360.0,0.0,Semiurban,1.0
LP001432,Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1.0,Semiurban,1.0
LP001439,Male,Yes,0,Not Graduate,No,4300.0,2014.0,194.0,360.0,1.0,Rural,1.0
LP001443,Female,,0,,No,3692.0,0.0,93.0,360.0,1.0,Rural,1.0
LP001451,Male,Yes,1,Graduate,Yes,10513.0,3850.0,,180.0,0.0,Urban,0.0
LP001465,Male,Yes,0,Graduate,No,6080.0,2569.0,182.0,360.0,1.0,Rural,0.0
LP001469,Male,No,,Graduate,Yes,20166.0,0.0,650.0,480.0,1.0,Urban,1.0
LP001473,Male,No,0,Graduate,No,2014.0,1929.0,74.0,360.0,1.0,Urban,1.0
LP001478,Male,No,0,Graduate,No,2718.0,0.0,70.0,360.0,1.0,Semiurban,
LP001482,Male,Yes,0,Graduate,Yes,3459.0,0.0,,120.0,1.0,Semiurban,1.0
LP001487,,No,0,Graduate,No,4895.0,0.0,102.0,360.0,1.0,Semiurban,1.0
LP001488,Male,Yes,3+,Graduate,No,4000.0,7750.0,,360.0,1.0,,0.0
LP001489,Female,Yes,0,Graduate,No,4583.0,0.0,,360.0,1.0,Rural,0.0
LP001491,Male,Yes,2,Graduate,Yes,3316.0,3500.0,88.0,360.0,1.0,Urban,1.0
LP001492,Male,No,0,Graduate,No,14999.0,0.0,242.0,360.0,0.0,Semiurban,
LP001493,Male,Yes,2,Not Graduate,No,4200.0,1430.0,129.0,360.0,1.0,Rural,0.0
LP001497,Male,Yes,2,Graduate,No,5042.0,2083.0,185.0,360.0,1.0,,0.0
LP001498,,No,0,Graduate,No,5417.0,,168.0,,1.0,Urban,1.0
LP001504,Male,No,0,Graduate,Yes,6950.0,0.0,175.0,180.0,1.0,Semiurban,1.0
,Male,Yes,0,Graduate,No,2698.0,2034.0,122.0,360.0,1.0,Semiurban,1.0
LP001508,Male,Yes,2,Graduate,No,11757.0,0.0,187.0,180.0,1.0,Urban,1.0
LP001514,Female,Yes,,Graduate,No,2330.0,4486.0,100.0,360.0,1.0,Semiurban,1.0
LP001516,Female,Yes,2,Graduate,No,14866.0,0.0,70.0,,1.0,Urban,1.0
LP001518,Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1.0,Urban,
LP001519,Female,No,0,Graduate,No,10000.0,1666.0,225.0,360.0,1.0,Rural,0.0
LP001520,Male,Yes,0,Graduate,No,,830.0,125.0,360.0,1.0,Semiurban,1.0
LP001528,Male,No,0,Graduate,No,,0.0,118.0,360.0,0.0,Rural,0.0
LP001529,Male,Yes,0,Graduate,Yes,2577.0,3750.0,152.0,360.0,1.0,Rural,1.0
LP001531,Male,No,0,Graduate,No,9166.0,0.0,244.0,360.0,1.0,Urban,
LP001532,Male,Yes,2,Not Graduate,No,2281.0,0.0,113.0,360.0,,Rural,0.0
LP001535,Male,No,0,Graduate,No,3254.0,0.0,50.0,360.0,1.0,Urban,1.0
LP001536,Male,Yes,3+,Graduate,No,39999.0,0.0,600.0,180.0,0.0,Semiurban,1.0
LP001541,Male,Yes,1,Graduate,No,6000.0,0.0,160.0,360.0,1.0,Rural,1.0
LP001543,Male,Yes,1,Graduate,No,9538.0,0.0,187.0,360.0,1.0,Urban,1.0
LP001546,Male,No,,Graduate,No,2980.0,2083.0,120.0,360.0,1.0,Rural,1.0
LP001552,,Yes,0,Graduate,No,4583.0,5625.0,255.0,360.0,1.0,Semiurban,1.0
LP001560,Male,Yes,0,Not Graduate,No,1863.0,1041.0,98.0,,1.0,Semiurban,1.0
LP001562,Male,Yes,,Graduate,,7933.0,0.0,275.0,360.0,1.0,Urban,0.0
LP001570,Male,Yes,2,Graduate,No,4167.0,1447.0,158.0,360.0,1.0,Rural,1.0
LP001572,Male,Yes,0,Graduate,No,9323.0,0.0,75.0,,1.0,Urban,1.0
LP001577,Female,,0,Graduate,No,4583.0,0.0,112.0,360.0,1.0,Rural,0.0
LP001578,,Yes,0,Graduate,No,2439.0,3333.0,129.0,360.0,1.0,Rural,1.0
,,No,0,Graduate,No,2237.0,0.0,63.0,480.0,0.0,Semiurban,0.0
LP001580,Male,Yes,2,Graduate,No,8000.0,0.0,200.0,360.0,1.0,Semiurban,1.0
LP001581,Male,Yes,0,Not Graduate,No,1820.0,1769.0,,360.0,1.0,Rural,1.0
LP001586,Male,Yes,3+,Not Graduate,No,3522.0,0.0,81.0,180.0,1.0,Rural,0.0
LP001594,Male,Yes,0,Graduate,No,5708.0,5625.0,187.0,360.0,1.0,Semiurban,1.0
LP001603,Male,Yes,0,Not Graduate,Yes,4344.0,736.0,87.0,360.0,1.0,Semiurban,0.0
LP001606,Male,Yes,0,Graduate,No,3497.0,1964.0,116.0,360.0,1.0,Rural,1.0
LP001608,Male,Yes,2,Graduate,No,2045.0,1619.0,101.0,360.0,,Rural,1.0
LP001610,Male,Yes,3+,Graduate,No,5516.0,11300.0,495.0,360.0,0.0,Semiurban,0.0
LP001616,Male,Yes,1,Graduate,No,3750.0,0.0,116.0,360.0,1.0,Semiurban,1.0
LP001630,Male,No,0,Not Graduate,No,2333.0,1451.0,102.0,480.0,0.0,Urban,0.0
LP001633,Male,Yes,1,Graduate,No,6400.0,7250.0,180.0,360.0,0.0,Urban,0.0
LP001634,Male,No,0,Graduate,No,1916.0,5063.0,67.0,360.0,1.0,Rural,0.0
LP001636,Male,Yes,0,Graduate,,4600.0,,73.0,180.0,1.0,Semiurban,1.0
LP001637,Male,Yes,1,,No,33846.0,0.0,260.0,360.0,1.0,Semiurban,0.0
LP001639,Female,Yes,0,Graduate,,3625.0,0.0,108.0,360.0,1.0,Semiurban,1.0
LP001640,Male,Yes,0,Graduate,Yes,39147.0,4750.0,120.0,360.0,1.0,Semiurban,1.0
LP001643,Male,Yes,0,Graduate,No,,2138.0,58.0,360.0,1.0,Rural,1.0
LP001647,Male,Yes,0,Graduate,No,9328.0,0.0,188.0,180.0,1.0,Rural,1.0
,Male,No,0,Not Graduate,No,4885.0,0.0,48.0,360.0,1.0,Rural,1.0
LP001656,Male,No,0,Graduate,,12000.0,0.0,164.0,360.0,1.0,Semiurban,0.0
,Male,Yes,0,Not Graduate,No,6033.0,0.0,160.0,360.0,1.0,Urban,0.0
LP001658,Male,No,0,Graduate,No,,0.0,76.0,360.0,1.0,Semiurban,1.0
LP001664,Male,No,0,Graduate,No,4191.0,0.0,120.0,360.0,1.0,Rural,
LP001665,Male,Yes,1,Graduate,No,3125.0,2583.0,170.0,,1.0,Semiurban,0.0
LP001671,Female,Yes,0,Graduate,No,3416.0,2816.0,113.0,360.0,,Semiurban,1.0
LP001673,Male,No,0,Graduate,,,0.0,83.0,360.0,1.0,Urban,0.0
LP001674,Male,Yes,1,Not Graduate,No,2600.0,2500.0,,360.0,1.0,Semiurban,1.0
LP001677,Male,No,2,,No,4923.0,0.0,166.0,360.0,0.0,Semiurban,1.0
LP001688,Male,Yes,1,Not Graduate,No,3500.0,,135.0,,1.0,Urban,1.0
LP001691,Male,Yes,,Not Graduate,No,3917.0,0.0,124.0,360.0,1.0,Semiurban,1.0
LP001692,Female,No,0,Not Graduate,No,4408.0,0.0,120.0,360.0,1.0,Semiurban,1.0
LP001693,Female,No,0,Graduate,No,3244.0,,80.0,360.0,1.0,Urban,1.0
LP001698,Male,No,,Not Graduate,No,3975.0,2531.0,55.0,360.0,1.0,Rural,1.0
,Male,No,0,Graduate,,2479.0,0.0,59.0,360.0,1.0,Urban,1.0
LP001702,Male,No,0,Graduate,No,3418.0,0.0,127.0,360.0,1.0,Semiurban,0.0
LP001708,Female,No,0,Graduate,No,10000.0,0.0,214.0,360.0,1.0,Semiurban,
LP001711,Male,Yes,3+,Graduate,No,3430.0,1250.0,128.0,360.0,0.0,Semiurban,0.0
LP001713,Male,Yes,1,Graduate,Yes,7787.0,0.0,240.0,360.0,1.0,Urban,1.0
LP001715,Male,Yes,3+,Not Graduate,,5703.0,0.0,130.0,360.0,1.0,Rural,1.0
LP001716,Male,Yes,0,Graduate,No,3173.0,3021.0,137.0,360.0,1.0,Urban,1.0
LP001720,Male,Yes,3+,Not Graduate,No,3850.0,983.0,100.0,360.0,1.0,Semiurban,1.0
LP001722,Male,Yes,0,Graduate,No,150.0,1800.0,135.0,360.0,,Rural,0.0
,Male,Yes,2,Graduate,,5000.0,0.0,72.0,360.0,0.0,Semiurban,0.0
LP001734,Female,Yes,2,Graduate,No,4283.0,2383.0,127.0,360.0,1.0,Semiurban,1.0
,Male,Yes,0,Graduate,No,2221.0,0.0,60.0,360.0,0.0,Urban,0.0
LP001743,Male,Yes,2,Graduate,No,4009.0,1717.0,116.0,360.0,1.0,Semiurban,1.0
LP001744,Male,No,0,Graduate,No,2971.0,2791.0,144.0,360.0,1.0,Semiurban,1.0
LP001750,Male,Yes,0,Graduate,No,6250.0,,128.0,360.0,1.0,Semiurban,1.0
LP001751,Male,Yes,0,Graduate,No,3250.0,0.0,170.0,360.0,1.0,,0.0
LP001758,Male,Yes,2,,No,6250.0,1695.0,210.0,360.0,1.0,Semiurban,1.0
LP001761,Male,No,0,Graduate,Yes,6400.0,0.0,200.0,360.0,1.0,Rural,1.0
LP001768,Male,Yes,0,Graduate,No,3716.0,0.0,42.0,180.0,1.0,Rural,1.0
LP001776,Female,No,,Graduate,No,8333.0,0.0,280.0,360.0,1.0,Semiurban,1.0
LP001778,Male,Yes,1,Graduate,,3155.0,1779.0,140.0,360.0,1.0,Semiurban,1.0
LP001784,Male,Yes,1,Graduate,No,5500.0,1260.0,170.0,360.0,1.0,Rural,1.0
LP001786,Male,Yes,0,Graduate,No,5746.0,0.0,255.0,360.0,1.0,Urban,0.0
LP001788,Female,No,0,Graduate,Yes,,0.0,122.0,,1.0,Urban,1.0
LP001790,Female,No,1,Graduate,No,3812.0,0.0,112.0,360.0,1.0,Rural,1.0
LP001792,Male,Yes,1,Graduate,No,3315.0,0.0,96.0,360.0,1.0,Semiurban,1.0
LP001798,Male,Yes,2,Graduate,No,5819.0,5000.0,120.0,360.0,1.0,Rural,1.0
LP001806,Male,No,0,Graduate,No,2965.0,5701.0,155.0,60.0,1.0,Urban,1.0
LP001807,Male,Yes,2,Graduate,Yes,6250.0,1300.0,,360.0,,Rural,1.0
LP001811,Male,Yes,0,Not Graduate,,3406.0,4417.0,123.0,360.0,1.0,Semiurban,1.0
LP001813,Male,No,0,Graduate,Yes,6050.0,4333.0,120.0,180.0,1.0,Urban,0.0
LP001814,Male,Yes,2,Graduate,No,9703.0,0.0,112.0,360.0,1.0,Urban,1.0
LP001819,Male,Yes,1,Not Graduate,No,6608.0,0.0,137.0,180.0,1.0,Urban,1.0
,Male,Yes,1,Graduate,No,,1843.0,123.0,,1.0,Semiurban,1.0
LP001825,Male,Yes,0,Graduate,No,1809.0,1868.0,90.0,360.0,,Urban,
LP001835,Male,Yes,,Not Graduate,No,1668.0,3890.0,201.0,360.0,0.0,Semiurban,0.0
LP001836,Female,No,2,Graduate,No,3427.0,0.0,138.0,360.0,1.0,Urban,0.0
LP001841,Male,No,0,,Yes,,2167.0,104.0,360.0,1.0,Rural,1.0
LP001843,Male,Yes,1,Not Graduate,No,,7101.0,279.0,180.0,1.0,Semiurban,1.0
LP001844,Male,No,0,Graduate,Yes,16250.0,0.0,192.0,360.0,0.0,Urban,0.0
LP001846,Female,No,3+,Graduate,No,3083.0,0.0,255.0,360.0,1.0,Rural,1.0
LP001849,Male,No,0,Not Graduate,No,6045.0,0.0,115.0,360.0,,Rural,0.0
LP001854,Male,Yes,3+,Graduate,No,5250.0,0.0,94.0,360.0,1.0,Urban,0.0
LP001859,Male,Yes,0,Graduate,No,14683.0,2100.0,304.0,360.0,1.0,Rural,0.0
LP001864,Male,Yes,3+,Not Graduate,,4931.0,0.0,128.0,360.0,1.0,Semiurban,0.0
LP001865,Male,Yes,1,Graduate,No,6083.0,,330.0,360.0,1.0,Urban,1.0
LP001868,Male,No,0,Graduate,No,2060.0,2209.0,134.0,360.0,1.0,Semiurban,1.0
LP001870,Female,No,1,Graduate,No,3481.0,0.0,155.0,36.0,1.0,Semiurban,0.0
LP001871,Female,No,0,Graduate,No,7200.0,0.0,120.0,360.0,1.0,Rural,1.0
LP001872,Male,No,0,Graduate,Yes,5166.0,,128.0,360.0,1.0,Semiurban,1.0
LP001875,Male,No,0,Graduate,No,4095.0,3447.0,151.0,360.0,1.0,Rural,1.0
LP001877,Male,Yes,2,Graduate,No,4708.0,1387.0,150.0,360.0,,Semiurban,1.0
LP001882,Male,Yes,3+,Graduate,No,4333.0,1811.0,160.0,360.0,0.0,Urban,1.0
LP001883,Female,No,0,Graduate,No,3418.0,0.0,135.0,360.0,1.0,Rural,0.0
LP001884,Female,No,1,Graduate,No,,1560.0,90.0,360.0,1.0,Urban,1.0
LP001888,Female,No,0,,No,,0.0,30.0,360.0,1.0,Urban,1.0
,Male,Yes,0,Graduate,No,11146.0,0.0,136.0,,,Urban,1.0
LP001892,Male,No,0,Graduate,No,2833.0,1857.0,126.0,360.0,1.0,Rural,1.0
LP001894,Male,Yes,0,Graduate,No,2620.0,2223.0,150.0,360.0,1.0,Semiurban,1.0
LP001896,Male,Yes,2,Graduate,No,3900.0,0.0,90.0,360.0,1.0,Semiurban,1.0
LP001900,Male,Yes,1,Graduate,No,2750.0,1842.0,115.0,360.0,1.0,Semiurban,1.0
LP001903,Male,Yes,0,Graduate,No,3993.0,3274.0,207.0,360.0,1.0,Semiurban,1.0
LP001904,Male,Yes,,Graduate,No,3103.0,1300.0,80.0,360.0,1.0,Urban,1.0
LP001907,Male,Yes,0,Graduate,No,14583.0,0.0,436.0,360.0,1.0,Semiurban,1.0
LP001910,Male,No,1,Not Graduate,Yes,4053.0,2426.0,158.0,360.0,,Urban,0.0
LP001914,Male,Yes,,Graduate,No,3927.0,800.0,112.0,360.0,1.0,Semiurban,1.0
LP001915,Male,Yes,2,Graduate,No,2301.0,985.7999878,78.0,180.0,1.0,Urban,
LP001917,Female,No,0,Graduate,No,1811.0,,54.0,360.0,1.0,Urban,1.0
LP001924,Male,No,0,Graduate,No,3158.0,3053.0,89.0,360.0,1.0,Rural,1.0
LP001925,,No,0,Graduate,Yes,2600.0,1717.0,99.0,300.0,1.0,Semiurban,0.0
LP001926,Male,Yes,0,Graduate,No,3704.0,2000.0,120.0,360.0,1.0,Rural,1.0
LP001931,Female,No,0,Graduate,No,4124.0,0.0,115.0,360.0,1.0,Semiurban,1.0
LP001935,Male,No,0,Graduate,No,9508.0,0.0,187.0,360.0,1.0,Rural,1.0
LP001936,Male,Yes,0,Graduate,No,3075.0,2416.0,139.0,360.0,1.0,Rural,1.0
LP001938,Male,Yes,2,Graduate,No,4400.0,0.0,127.0,,0.0,Semiurban,0.0
LP001940,Male,Yes,2,Graduate,No,3153.0,1560.0,134.0,360.0,1.0,Urban,1.0
LP001947,Male,Yes,0,Graduate,No,2383.0,3334.0,172.0,360.0,1.0,Semiurban,1.0
LP001949,Male,Yes,3+,Graduate,No,4416.0,1250.0,110.0,360.0,1.0,Urban,1.0
LP001953,Male,Yes,1,Graduate,No,6875.0,0.0,200.0,360.0,1.0,Semiurban,1.0
LP001954,Female,Yes,,Graduate,No,4666.0,0.0,135.0,360.0,1.0,Urban,1.0
LP001955,Female,No,0,Graduate,No,,2541.0,151.0,480.0,1.0,Rural,0.0
LP001963,Male,Yes,1,Graduate,No,2014.0,2925.0,113.0,360.0,1.0,Urban,0.0
LP001964,Male,Yes,0,Not Graduate,,1800.0,2934.0,93.0,360.0,0.0,Urban,0.0
LP001974,,No,0,Graduate,No,5000.0,0.0,132.0,360.0,1.0,Rural,1.0
LP001977,Male,Yes,1,Graduate,No,1625.0,1803.0,96.0,360.0,1.0,Urban,1.0
LP001978,Male,No,0,Graduate,No,4000.0,2500.0,140.0,,1.0,Rural,1.0
LP001993,Female,No,0,Graduate,No,3762.0,1666.0,135.0,360.0,1.0,Rural,1.0
LP001994,Female,No,0,Graduate,No,2400.0,1863.0,104.0,360.0,0.0,Urban,0.0
LP001996,Male,No,0,Graduate,No,20233.0,0.0,480.0,360.0,1.0,Rural,0.0
LP001998,Male,Yes,2,Not Graduate,No,7667.0,0.0,185.0,360.0,1.0,Rural,1.0
LP002002,Female,No,0,Graduate,No,2917.0,0.0,84.0,360.0,1.0,Semiurban,1.0
LP002004,Male,No,0,Not Graduate,No,2927.0,2405.0,111.0,360.0,1.0,Semiurban,1.0
,Female,No,0,Graduate,No,2507.0,0.0,56.0,360.0,1.0,Rural,1.0
LP002008,Male,Yes,2,Graduate,Yes,5746.0,0.0,,84.0,,Rural,1.0
LP002031,Male,Yes,1,Not Graduate,No,3399.0,1640.0,111.0,180.0,1.0,Urban,1.0
LP002035,Male,Yes,2,Graduate,No,3717.0,0.0,,360.0,1.0,Semiurban,1.0
LP002036,Male,,0,Graduate,No,2058.0,2134.0,88.0,360.0,1.0,Urban,1.0
LP002043,Female,No,1,Graduate,No,3541.0,0.0,112.0,360.0,1.0,Semiurban,1.0
LP002050,Male,Yes,1,Graduate,Yes,10000.0,0.0,155.0,360.0,1.0,Rural,0.0
LP002051,Male,Yes,0,Graduate,No,2400.0,2167.0,115.0,360.0,1.0,Semiurban,1.0
LP002053,Male,Yes,3+,Graduate,No,4342.0,189.0,124.0,360.0,1.0,Semiurban,1.0
